Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
4800 BLOCK OF SE 28TH AVE,22-6412,Property,Reed,9/1/2021,0000,Larceny Offenses,All Other Larceny,45.487918948,-122.637465987,1/8/2022,1
4800 BLOCK OF SE 28TH AVE,22-901155,Property,Reed,1/10/2022,2200,Larceny Offenses,Theft From Motor Vehicle,45.487918948,-122.637465987,1/11/2022,1
4800 BLOCK OF SE 30TH AVE,22-903027,Property,Reed,1/30/2022,1830,Larceny Offenses,Theft From Motor Vehicle,45.487852133,-122.634272729,1/31/2022,1
4800 BLOCK OF SE 46TH AVE,22-902515,Property,Woodstock,1/24/2022,2300,Larceny Offenses,Theft From Motor Vehicle,45.487579019,-122.614927038,1/25/2022,1
4800 BLOCK OF SE 65TH AVE,22-902031,Person,Mt Scott-Arleta,1/20/2022,0946,Assault Offenses,Intimidation,45.487966945,-122.595863477,1/20/2022,1
4800 BLOCK OF SE 71ST AVE,22-19654,Property,Foster-Powell,1/20/2022,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.488080930,-122.590211773,1/21/2022,1
4800 BLOCK OF SE 76TH AVE,22-901282,Property,Foster-Powell,1/10/2022,0335,Larceny Offenses,Theft From Motor Vehicle,45.487700334,-122.585189409,1/10/2022,1
4800 BLOCK OF SE 122ND AVE,22-1846,Property,Powellhurst-Gilbert,1/2/2022,2030,Larceny Offenses,All Other Larceny,45.487117129,-122.537745468,1/3/2022,1
4800 BLOCK OF SE HAIG ST,22-900777,Property,Richmond,1/4/2022,0300,Larceny Offenses,Theft From Motor Vehicle,45.498275184,-122.613058595,1/4/2022,1
4800 BLOCK OF SE HAWTHORNE BLVD,22-27759,Person,Sunnyside,1/30/2022,0049,Assault Offenses,Simple Assault,45.512067970,-122.612728909,1/30/2022,1
4800 BLOCK OF SE POWELL BLVD,22-12468,Property,Creston-Kenilworth,1/14/2022,1123,Burglary,Burglary,45.497484554,-122.613083803,1/14/2022,1
4800 BLOCK OF SE POWELL BLVD,22-26362,Property,Richmond,1/26/2022,2151,Larceny Offenses,All Other Larceny,45.497572362,-122.613083168,1/28/2022,1
4800 BLOCK OF SE RURAL ST,22-902968,Property,Brentwood-Darlington,1/31/2022,0000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.471851574,-122.613483843,1/31/2022,1
4800 BLOCK OF SE WOODSTOCK BLVD,22-902203,Property,Woodstock,1/22/2022,2250,Vandalism,Vandalism,45.479215161,-122.612907517,1/23/2022,1
4800 BLOCK OF SE WOODSTOCK BLVD,22-902471,Property,Woodstock,1/23/2022,0230,Burglary,Burglary,45.479215161,-122.612907517,1/25/2022,1
4800 BLOCK OF SW BARBUR BLVD,22-12576,Property,South Portland,1/11/2022,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.488533373,-122.682690911,1/14/2022,1
4800 BLOCK OF SW SHATTUCK RD,22-26299,Property,Bridlemile,1/25/2022,1150,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.488368961,-122.730371778,1/28/2022,1
4900 BLOCK OF N AMHERST ST,22-901335,Property,University Park,1/8/2022,0305,Larceny Offenses,Theft From Motor Vehicle,45.576518513,-122.722882954,1/9/2022,1
4900 BLOCK OF N AMHERST ST,22-902248,Property,University Park,12/20/2021,0300,Larceny Offenses,Theft From Motor Vehicle,45.576593744,-122.722823392,1/26/2022,1
4900 BLOCK OF N MISSOURI AVE,22-900978,Property,Humboldt,1/4/2022,0905,Fraud Offenses,Identity Theft,45.558644574,-122.677951645,1/4/2022,1
4900 BLOCK OF N WILLIAMS AVE,22-13450,Property,Humboldt,1/15/2022,0500,Motor Vehicle Theft,Motor Vehicle Theft,45.558814686,-122.666624155,1/15/2022,1
4900 BLOCK OF NE 15TH AVE,22-901083,Property,Vernon,1/9/2022,1950,Larceny Offenses,Theft From Motor Vehicle,45.558749144,-122.649651968,1/10/2022,1
4900 BLOCK OF NE 34TH AVE,22-6783,Property,Concordia,1/8/2022,0830,Motor Vehicle Theft,Motor Vehicle Theft,45.558675330,-122.629586427,1/8/2022,1
4900 BLOCK OF NE 62ND AVE,22-15234,Property,Cully,1/16/2022,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.558888390,-122.599201669,1/17/2022,1
4900 BLOCK OF NE 82ND AVE,22-987,Property,Cully,1/2/2022,0821,Fraud Offenses,Credit Card/ATM Fraud,45.558881031,-122.578615573,1/2/2022,1
4900 BLOCK OF NE 82ND AVE,22-1639,Property,Cully,12/31/2021,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.558881031,-122.578615573,1/2/2022,1
